FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,0.250075,192.168.0.100,9,10.10.0.7,9,UDP,2,2,0,152,152,7.9976,7.9976,607.817,607.817,0.00120846,0.00113338,4.86254,76,0,0,Sybil Attack
2,0.250696,192.168.0.100,9,10.10.0.11,9,UDP,10,2,8,760,152,39.8889,7.97779,3031.56,606.312,0.00401509,0.00331895,4.85049,76,0.8,0,Sybil Attack
3,0.250108,192.168.0.101,9,10.10.0.7,9,UDP,2,2,0,152,152,7.99655,7.99655,607.738,607.738,0.00124128,0.00113338,4.8619,76,0,0,Sybil Attack
4,0.250729,192.168.0.101,9,10.10.0.11,9,UDP,10,2,8,760,152,39.8837,7.97674,3031.16,606.232,0.00404791,0.00331895,4.84986,76,0.8,0,Sybil Attack
5,0.250141,192.168.0.102,9,10.10.0.7,9,UDP,2,2,0,152,152,7.9955,7.9955,607.658,607.658,0.0012745,0.00113377,4.86126,76,0,0,Sybil Attack
6,0.250762,192.168.0.102,9,10.10.0.11,9,UDP,10,2,8,760,152,39.8785,7.9757,3030.76,606.153,0.00408112,0.00331935,4.84922,76,0.8,0,Sybil Attack
7,0.250174,192.168.0.103,9,10.10.0.7,9,UDP,2,1,1,152,76,7.99445,3.99723,607.578,303.789,0.000173546,0,2.43031,76,0.5,0,Sybil Attack
8,0.250795,192.168.0.103,9,10.10.0.11,9,UDP,10,1,9,760,76,39.8733,3.98733,3030.37,303.037,0.000794595,0,2.42429,76,0.9,0,Sybil Attack
9,0.250206,192.168.0.104,9,10.10.0.7,9,UDP,2,1,1,152,76,7.9934,3.9967,607.499,303.749,0.000206366,0,2.42999,76,0.5,0,Sybil Attack
10,0.250827,192.168.0.104,9,10.10.0.11,9,UDP,10,1,9,760,76,39.8681,3.98681,3029.97,302.997,0.000827415,0,2.42398,76,0.9,0,Sybil Attack
11,0.250239,192.168.0.105,9,10.10.0.7,9,UDP,2,1,1,152,76,7.99235,3.99618,607.419,303.709,0.000239186,0,2.42968,76,0.5,0,Sybil Attack
12,0.25086,192.168.0.105,9,10.10.0.11,9,UDP,10,1,9,760,76,39.8628,3.98628,3029.58,302.958,0.000860235,0,2.42366,76,0.9,0,Sybil Attack
13,0.250272,192.168.0.106,9,10.10.0.7,9,UDP,2,1,1,152,76,7.99131,3.99565,607.339,303.67,0.000272006,0,2.42936,76,0.5,0,Sybil Attack
14,0.250893,192.168.0.106,9,10.10.0.11,9,UDP,10,1,9,760,76,39.8576,3.98576,3029.18,302.918,0.000893055,0,2.42334,76,0.9,0,Sybil Attack
15,0.250305,192.168.0.107,9,10.10.0.7,9,UDP,2,1,1,152,76,7.99026,3.99513,607.26,303.63,0.000304826,0,2.42904,76,0.5,0,Sybil Attack
16,0.250926,192.168.0.107,9,10.10.0.11,9,UDP,10,1,9,760,76,39.8524,3.98524,3028.78,302.878,0.000925875,0,2.42303,76,0.9,0,Sybil Attack
17,0.250338,192.168.0.108,9,10.10.0.7,9,UDP,2,1,1,152,76,7.98921,3.9946,607.18,303.59,0.000337646,0,2.42872,76,0.5,0,Sybil Attack
18,0.250959,192.168.0.108,9,10.10.0.11,9,UDP,10,1,9,760,76,39.8472,3.98472,3028.39,302.839,0.000958695,0,2.42271,76,0.9,0,Sybil Attack
19,0.250374,192.168.0.109,9,10.10.0.7,9,UDP,2,1,1,152,76,7.98807,3.99403,607.093,303.546,0.000373514,0,2.42837,76,0.5,0,Sybil Attack
20,0.250995,192.168.0.109,9,10.10.0.11,9,UDP,10,1,9,760,76,39.8415,3.98415,3027.95,302.795,0.000994563,0,2.42236,76,0.9,0,Sybil Attack
21,1,192.168.0.100,9,10.10.0.2,9,UDP,8,0,8,608,0,8,0,608,0,0,0,0,76,1,0,Sybil Attack
22,0.7513,192.168.0.100,9,10.10.0.15,9,UDP,16,3,7,1216,228,21.2964,3.99308,1618.53,303.474,0.00240098,0.00110547,2.42779,76,0.4375,1,Sybil Attack
23,1.75284,192.168.0.100,9,10.10.0.16,9,UDP,8,6,2,608,456,4.56402,3.42301,346.865,260.149,0.00241175,0.000390149,2.08119,76,0.25,2,Sybil Attack
24,1,192.168.0.101,9,10.10.0.2,9,UDP,8,0,8,608,0,8,0,608,0,0,0,0,76,1,0,Sybil Attack
25,0.751366,192.168.0.101,9,10.10.0.15,9,UDP,16,3,7,1216,228,21.2945,3.99273,1618.39,303.447,0.00245568,0.00109453,2.42758,76,0.4375,1,Sybil Attack
26,1.75288,192.168.0.101,9,10.10.0.16,9,UDP,8,6,2,608,456,4.56393,3.42295,346.859,260.144,0.00244483,0.000390685,2.08115,76,0.25,2,Sybil Attack
27,1,192.168.0.102,9,10.10.0.2,9,UDP,8,0,8,608,0,8,0,608,0,0,0,0,76,1,0,Sybil Attack
28,0.751432,192.168.0.102,9,10.10.0.15,9,UDP,16,3,7,1216,228,21.2927,3.99238,1618.24,303.421,0.00251038,0.00108359,2.42737,76,0.4375,1,Sybil Attack
29,1.75291,192.168.0.102,9,10.10.0.16,9,UDP,8,6,2,608,456,4.56384,3.42288,346.852,260.139,0.0028097,0.00105477,2.08111,76,0.25,2,Sybil Attack
30,1,192.168.0.103,9,10.10.0.2,9,UDP,8,0,8,608,0,8,0,608,0,0,0,0,76,1,0,Sybil Attack
31,0.751497,192.168.0.103,9,10.10.0.15,9,UDP,16,3,7,1216,228,21.2908,3.99203,1618.1,303.394,0.00256508,0.00107265,2.42715,76,0.4375,1,Sybil Attack
32,1.75294,192.168.0.103,9,10.10.0.16,9,UDP,8,6,2,608,456,4.56376,3.42282,346.846,260.134,0.00284252,0.00105477,2.08107,76,0.25,2,Sybil Attack
33,1,192.168.0.104,9,10.10.0.2,9,UDP,8,0,8,608,0,8,0,608,0,0,0,0,76,1,0,Sybil Attack
